"TIV of arms exports from all, 2000-2019",,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2020,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Serbia,,11,,,,,5,5,45,1,31,4,11,11,10,35,23,2,27,,222
Singapore,11,,4,,65,,,,,31,25,13,76,1,2,48,47,,,,322
Slovakia,37,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,12,,272
Slovenia,,,,,,,,,,,,,,,,,0,,,,0
South Africa,21,37,17,43,72,30,187,127,141,103,235,71,184,103,65,58,74,77,65,145,1854
South Korea,10,228,,96,73,108,158,279,109,224,197,345,218,347,163,101,479,751,1066,688,5640
Spain,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,471,820,1025,1061,11872
Sudan,,,,,,,,,,,,,,11,,,,,,,11
Sweden,359,895,163,515,294,534,390,336,453,409,659,694,478,388,336,175,261,82,159,206,7787
Switzerland,182,209,166,185,255,253,296,302,459,229,251,327,230,175,330,471,212,173,237,254,5194
Syria,,,,,,,3,,,20,20,,,,,,,,,,43
Taiwan,,6,0,,,,,,,16,,,2,,,4,,2,,2,34
Thailand,,,,7,7,,93,,,,,,,,,,2,2,,,112
Turkey,19,5,26,42,28,23,82,66,111,63,72,86,143,156,165,248,232,171,265,245,2249
