Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Germany,Egypt,1280,Fahd,APC,1978,1986-2015,(1280),Developed for assembly/production in Egypt | incl Fahd-240/30 IFV version,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,60,Terrier LAU,APV,(2000),2002-2013,(60),Produced in Egypt as Kader-120,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Greece,3,Type-214,Submarine,2000,2010-2015,(3),Part of EUR1.8 b Archimedes deal (offsets 115% | incl modernization of Greek shipyard for submarine production) | Greek designation Katsonis | delivery delayed several years after disagreement between Greece and producer,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,1,Type-214,Submarine,2002,2016,1,Greek designation Katsonis | delivery delayed several years after disagreement between Greece and producer,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,(350),IRIS-T,SRAAM,(2004),2007-2013,(350),Incl production of components in Greece and Greece funding for development | option on 100 more,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,India,(22250),MILAN,Anti-tank missile,(1979),1984-2018,(22000),MILAN-2 and MILAN-2T version | ordered from French-FRG company | most produced in India | incl for BMP-2 IFV,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,(56),Do-228MP,MP aircraft,1983,1986-2011,(56),Incl some 30-36 for coast guard,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,12,Do-228,Light transport ac,(2007),2009-2010,(12),,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,14,Do-228MP,MP aircraft,(2012),2013-2016,(14),$280 m deal | incl for coast guard,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,(16),ACTAS,ASW sonar,(2014),,,For modernization of 3 Delhi (Project-15) destroyers and 3 Talwar (Project-11356) frigates and for 3 Kolkata (Project-15A) destroyers and 3 Shivalik (Project-17) and 4 Kamorta (Project-28) frigates produced in India | incl production of 10 in India,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,14,Do-228,Light transport ac,(2015),2015-2017,(14),,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,12,Do-228MP,MP aircraft,(2016),,,Delivery planned from 2019,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,14,RK-280,Diesel engine,2016,,,MAN-12V28/33 version | for 7 Project-17A frigates produced in India,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,Indonesia,(57),Bo-105,Light helicopter,1976,1977-2011,(57),Indonesian designation NBO-105CB/CBS | incl for police,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Israel,4,MEKO PC-IN,Frigate,2015,,,EUR430 m deal (incl EUR115 m paid by Germany | NIS700 m offsets | incl production of components and final fitting out in Israel) | Israeli designation Saar-6 or Magen | delivery planned 2019/2020-2022,51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Italy,70,PzH-2000 155mm,Self-propelled gun,2002,2002-2010,(70),EUR500 m deal | 68 produced in Italy,51.165691,10.451526,DEU,41.87194,12.56738,ITA
Germany,Italy,(444),IRIS-T,SRAAM,(2003),2006-2013,(444),Incl production of components in Italy and Italian funding for development,51.165691,10.451526,DEU,41.87194,12.56738,ITA
Germany,Italy,2,Type-212,Submarine,2008,2016-2017,2,EUR915-944 m deal | produced in Italy | Italian designation Todaro,51.165691,10.451526,DEU,41.87194,12.56738,ITA
Germany,Latvia,5,SWATH-125t,Patrol craft,(2008),2011-2014,(5),Latvian designation Skrunda,51.165691,10.451526,DEU,56.879635,24.603189,LVA
Germany,Malaysia,6,MEKO-A100,Frigate,1999,2006-2010,6,MYR6.8 b ($2 b) New Generation Patrol Vessel (NGPV) programme (offsets incl production of at least 30% of components and assembly of 4 in Malaysia | original MYR5.4 b cost increased with MYR1.4 b and delivery delayed due to problems of producer) | MEKO-10,51.165691,10.451526,DEU,4.210484,101.975766,MYS
Germany,Netherlands,57,PzH-2000 155mm,Self-propelled gun,2002,2004-2010,(57),$420 m deal (offsets 100% incl production of components in Netherlands) | 18 to be sold immediately after delivery to Netherlands,51.165691,10.451526,DEU,52.132633,5.291266,NLD
Germany,Norway,4,Type-212,Submarine,2017,,,Offsets incl production of components in Norway and sale of NSM anti-ship missiles to Germany | selected but not yet ordered by end-2017,51.165691,10.451526,DEU,60.472024,8.468946,NOR
Germany,Poland,1,MEKO-A100,OPV,2001,,,Project-621 Gawron-2 | originally ordered as frigate but changed 2013 to OPV | 1 more cancelled and option on 5 more not used | delivery planned 2019,51.165691,10.451526,DEU,51.919438,19.145136,POL
Germany,Singapore,2,Type-218,Submarine,2013,,,Type-218SG version | delivery from 2021,51.165691,10.451526,DEU,1.352083,103.819836,SGP
Germany,Singapore,2,Type-218,Submarine,2017,,,Type-218SG version | delivery from 2024,51.165691,10.451526,DEU,1.352083,103.819836,SGP
Germany,South Korea,6,Type-214,Submarine,2008,2014-2018,(5),KSS-2 programme | delivery planned 2014-2019,51.165691,10.451526,DEU,35.907757,127.766922,KOR
Germany,Spain,219,Leopard-2A6,Tank,1998,2003-2013,(219),Part of EUR1.9 b deal (offsets 80% incl production of 189 in Spain) | Leopard-2E version,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,2,MAN-3240,Diesel engine,2004,2010,2,For Juan Carlos AALS/aircraft carrier produced in Spain,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,12,MTU-396,Diesel engine,(2004),,,For 4 S-80A submarines produced in Spain,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,40,DM2A4 Seehecht,AS/ASW torpedo,2005,,,EUR76 m deal (incl production of components in Spain) | for S-80A submarines,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,700,IRIS-T,SRAAM,2009,2011-2016,(700),EUR247 m deal (incl production of components in Spain and Spanish funding for development),51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,12,EC135,Light helicopter,2010,2011-2013,(12),EUR65 m deal | for training | Spanish designation HE-26,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Spain,8,EC135,Light helicopter,2013,2014,(8),EUR49 m deal | EC135T2 version | for training,51.165691,10.451526,DEU,40.463667,-3.74922,ESP
Germany,Sweden,5,NH-90 NFH,ASW helicopter,2001,2016-2017,5,Part of $660 b deal (most assembled in Finland | offsets 100% incl $220 m production of parts for 200 NH-90 in Sweden) | Swedish designation Hkp-14F,51.165691,10.451526,DEU,60.128161,18.643501,SWE
Germany,Sweden,(400),IRIS-T,SRAAM,(2004),2009-2010,(400),Incl production of components in Sweden and Swedish funding for development,51.165691,10.451526,DEU,60.128161,18.643501,SWE
Germany,Sweden,. .,IRIS-T,SRAAM,2013,,,IRIS-T SLS SAM version | incl production of components in Sweden | delivery 2019,51.165691,10.451526,DEU,60.128161,18.643501,SWE
Germany,Switzerland,12,PiPz-3 Kodiak,AEV,2007,2009-2011,(12),CHF95-129 m ($80-105 m) deal,51.165691,10.451526,DEU,46.818188,8.227512,CHE
Germany,Taiwan,90,MTU-4000,Diesel engine,2007,2009-2011,(90),$149 m deal | for 30 KH-6 FAC produced in Taiwan,51.165691,10.451526,DEU,23.69781,120.960515,TWN
Germany,Turkey,6,Frankenthal/Type-332,MCM ship,1999,2005-2010,6,$625 m deal | 5 produced in Turkey | Turkish designation Aydin or Alanya,51.165691,10.451526,DEU,38.963745,35.243322,TUR
Germany,Turkey,2,Kili\u0231?,FAC,(2004),2009-2010,2,Kili\u0231?-2 version,51.165691,10.451526,DEU,38.963745,35.243322,TUR
Germany,Turkey,6,Type-214,Submarine,2011,,,EUR2.2-2.5 b deal | Type-214TN version | produced in Turkey | Turkish designation Reis | delivery planned 2019-2024,51.165691,10.451526,DEU,38.963745,35.243322,TUR
Germany,United Kingdom,(500),Boxer,APC,2018,,,Produced in UK | delivery planned from 2023,51.165691,10.451526,DEU,55.378051,-3.435973,GBR
Germany,United States,(27),TRS-3D,Air/sea search radar,2004,2006-2018,(13),TRS-3D/16 version for 15 Freedom (LCS-1) frigates and 11 Legend (NSC) OPV produced in USA and 1 land-based site | possibly incl production in USA,51.165691,10.451526,DEU,37.09024,-95.712891,USA
Germany,United States,(346),EC145,Light helicopter,2006,2006-2015,(346),$3 b LUH programme (incl 20 years support) | produced in USA | US designation UH-72A Lakota,51.165691,10.451526,DEU,37.09024,-95.712891,USA
Germany,United States,5,EC145,Light helicopter,(2008),2009-2010,(5),Produced in USA | US designation H-72A,51.165691,10.451526,DEU,37.09024,-95.712891,USA
Germany,United States,(155),EC145,Light helicopter,2014,2015-2018,(92),Produced in USA | for training | US designation UH-72A or LUH-72A,51.165691,10.451526,DEU,37.09024,-95.712891,USA
Germany,Albania,2,EC145,Light helicopter,2014,2015,(2),,51.165691,10.451526,DEU,41.153332,20.168331,ALB
Germany,Algeria,54,Fuchs-2,APC,2011,2013-2014,(54),EUR195 m deal,51.165691,10.451526,DEU,28.033886,1.659626,DZA
Germany,Algeria,2,MEKO-A200,Frigate,2012,2016,2,Algerian designation Erradii | option on 2 more,51.165691,10.451526,DEU,28.033886,1.659626,DZA
Germany,Algeria,(12),MTU-1163,Diesel engine,(2012),2015-2016,(12),For 3 C-28A frigates from China,51.165691,10.451526,DEU,28.033886,1.659626,DZA
Germany,Algeria,926,Fuchs-2,APC,(2014),2015-2018,(237),Assembled in Algeria | delivery planned 2015-2025,51.165691,10.451526,DEU,28.033886,1.659626,DZA
Germany,Argentina,10,G-120TP,Trainer aircraft,2012,2013-2014,10,$26 m deal,51.165691,10.451526,DEU,-38.416097,-63.616672,ARG
Germany,Australia,(259),Waran,APC,2002,2007-2011,(259),Part of AUD500 m ($280 m) Project Land-106 Phase-2 | Australian M-113A1 APC rebuilt to Waran in Australia with kits from FRG | Australian designation M-113AS4 | delivery delayed from 2004-2009 to 2007-2011,51.165691,10.451526,DEU,-25.274398,133.775136,AUS
Germany,Australia,4,MAN-3240,Diesel engine,(2007),2014-2015,4,For 2 BPE (Canberra) AALS from Spain,51.165691,10.451526,DEU,-25.274398,133.775136,AUS
Germany,Australia,(81),Waran,APC,2008,2011-2012,(81),Australian M-113A1 APCs rebuilt to Waran | assembled in Australia with kits from FRG | Australian designation M-113AS4,51.165691,10.451526,DEU,-25.274398,133.775136,AUS
Germany,Australia,15,EC135,Light helicopter,2014,2015-2017,(15),H135T2+ (EC135T2+) version | | owned and operated by civilian company for HATS programme for training of Australian military,51.165691,10.451526,DEU,-25.274398,133.775136,AUS
Germany,Australia,9,ASR-NG,Air search radar,2015,2018,(3),EUR130 m Project Air-5431 Phase-2 | incl for civilian air traffic control,51.165691,10.451526,DEU,-25.274398,133.775136,AUS
Germany,Austria,6,Dingo-2,APC,2013,2014,(6),EUR10.5 m deal | ambulance version,51.165691,10.451526,DEU,47.516231,14.550072,AUT
Germany,Austria,18,Dingo-2,APC,2016,2017,18,EUR20 m deal,51.165691,10.451526,DEU,47.516231,14.550072,AUT
Germany,Austria,40,Dingo-2,APC,2017,2018,(16),EUR51-64 m deal | delivery planned 2018-2019,51.165691,10.451526,DEU,47.516231,14.550072,AUT
Germany,Bangladesh,2,Do-228MP,MP aircraft,2011,2013,2,Do-228-212NG version,51.165691,10.451526,DEU,23.684994,90.356331,BGD
Germany,Bangladesh,2,Do-228MP,MP aircraft,2017,,,,51.165691,10.451526,DEU,23.684994,90.356331,BGD
Germany,Belgium,4,NF-90 NFH,ASW helicopter,2001,2013-2015,4,Part of EUR300 m deal,51.165691,10.451526,DEU,50.503887,4.469936,BEL
Germany,Belgium,(28),TP400-D6,Turboprop,2003,,,For 7 A400M transport aircraft from Spain,51.165691,10.451526,DEU,50.503887,4.469936,BEL
Germany,Bolivia,2,EC145,Light helicopter,2011,2012,2,Incl for VIP transport SAR and anti-narcotics operations,51.165691,10.451526,DEU,-16.290154,-63.588653,BOL
Germany,Bolivia,2,EC145,Light helicopter,2014,2014,2,BOB172 m ($24 m) deal,51.165691,10.451526,DEU,-16.290154,-63.588653,BOL
Germany,Brazil,220,Leopard-1A5,Tank,2006,2009-2012,(220),Second-hand but modernized before delivery | part of EUR86 m deal (incl 30 more for spares only),51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,16,MTU-396,Diesel engine,2010,,,For 4 Scorpene submarines from France,51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,2,BPz-2,ARV,2011,2012,2,Second-hand but modernized before delivery,51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,(1),BrPz-1 Biber,ABL,2011,2012,1,Second-hand but modernized before delivery,51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,6,MAN-280,Diesel engine,2011,2012-2013,6,For 3 VT-90M OPV from UK,51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,1,PiPz-2 Dachs,AEV,2011,2012,1,Second-hand,51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brazil,34,Gepard,SPAAG,2013,2013-2015,(34),Second-hand | EUR37 m deal (incl 3 more for spare parts),51.165691,10.451526,DEU,-14.235004,-51.92528,BRA
Germany,Brunei,4,FPB-41,Patrol craft,(2007),2009-2010,4,Bruneian designation Ijhtihad,51.165691,10.451526,DEU,4.535277,114.727669,BRN
Germany,Brunei,3,OPV-80,Corvette,2007,2011,3,Bruneian designation Darussalam,51.165691,10.451526,DEU,4.535277,114.727669,BRN
Germany,Brunei,1,Mustead,Patrol craft,2010,2011,1,From Malaysian production line | Bruneian designation Mustead,51.165691,10.451526,DEU,4.535277,114.727669,BRN
Germany,Brunei,(1),OPV-80,Corvette,(2012),2014,1,Bruneian designation Darussalam,51.165691,10.451526,DEU,4.535277,114.727669,BRN
Germany,Canada,2,G-120,Trainer aircraft,2010,2011,2,Owned and operated by civilian company for Canadian armed forces | G-120A-C version,51.165691,10.451526,DEU,56.130366,-106.346771,CAN
Germany,Canada,7,ASR-NG,Air search radar,2013,2016-2017,(7),EUR50 m deal,51.165691,10.451526,DEU,56.130366,-106.346771,CAN
Germany,Chile,(120),Marder-1A3,IFV,2008,2009-2010,(120),Second-hand | $47 m deal | modernized before delivery | 50-80 more for spares only,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Chile,(10),BPz-2,ARV,2009,2011-2012,10,Second-hand,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Chile,(24),M-113,APC,2009,2011-2012,(24),Second-hand | M-113A2 ambulance version,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Chile,(146),Marder-1A3,IFV,(2009),2010-2011,(146),Second-hand | EUR7.3 m deal | possibly incl some for spares,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Chile,6,PiPz-2 Dachs,AEV,2009,2012,(6),Second-hand,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Chile,3,TRS-4D,Multifunction radar,(2016),,,For modernization of 3 Type-23 frigates,51.165691,10.451526,DEU,-35.675147,-71.542969,CHL
Germany,Colombia,1,CPV-40,Patrol craft,2009,2011,1,EUR11 m deal,51.165691,10.451526,DEU,4.570868,-74.297333,COL
Germany,Colombia,16,MTU-1163,Diesel engine,(2009),2012-2014,(16),For modernization of 4 FS-1500 (Padilla) frigates,51.165691,10.451526,DEU,4.570868,-74.297333,COL
Germany,Colombia,(30),DM-2A3 Seehecht,AS/ASW torpedo,2012,2012,(30),Second-hand | for Type-206A submarines,51.165691,10.451526,DEU,4.570868,-74.297333,COL
Germany,Colombia,2,Type-206A,Submarine,2012,2015,2,Second-hand but modernized before delivery | EUR11 m or EUR110 m deal | Colombian designation Intr\u0233?pido | 2 more delivered for spare parts,51.165691,10.451526,DEU,4.570868,-74.297333,COL
Germany,Colombia,1,ATR-42,Transport aircraft,2014,2015,1,Second-hand | for police,51.165691,10.451526,DEU,4.570868,-74.297333,COL
Germany,Croatia,12,PzH-2000 155mm,Self-propelled gun,2014,2015-2017,(12),Second-hand | EUR41 m deal (incl EUR12 m for guns and EUR29 for support and spare parts),51.165691,10.451526,DEU,45.1,15.2,HRV
Germany,Denmark,3,ASO-90,ASW sonar,(2006),2012-2014,3,ASO-94 version for 3 Huitfeldt (PS) frigates produced in Denmark,51.165691,10.451526,DEU,56.26392,9.501785,DNK
Germany,Denmark,12,MTU-8000,Diesel engine,(2006),2012-2014,12,For 3 Huitfeldt (PS) frigates produced in Denmark,51.165691,10.451526,DEU,56.26392,9.501785,DNK
Germany,Denmark,(16),Leopard-2A7,Tank,2017,,,Part of EUR113 m deal | Danish Leopard-2A5 rebuilt to Leopard-2A7V,51.165691,10.451526,DEU,56.26392,9.501785,DNK
Germany,Egypt,(139),RIM-116A RAM,SAM,2005,2014,139,Part of $25 m deal | RIM-116B Block-1A version for Ambassador-4 corvettes,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,12,MTU-595,Diesel engine,2006,2013-2015,(12),For 3 Ambassador-4 corvettes from USA,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,4,MTU-595,Diesel engine,(2010),2015,4,For 1 Ambassador-4 corvette from USA,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,2,Type-209/1400,Submarine,(2012),2016-2017,2,,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,2,Type-209/1400,Submarine,(2014),,,Delivery planned by 2021,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,4,MTU-4000,Diesel engine,2015,2015,4,For FREMM frigate from France,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,(125),SUT,AS/ASW torpedo,(2015),2016-2017,(50),Designation uncertain (reported as torpedo) | for Type-209 submarines,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,(330),AIM-9L/I Sidewinder,SRAAM,(2017),2018,(50),Probably AIM-9L/I-1 version,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,7,IRIS-T SLS,SAM system,(2018),,,IRIS-T ML version,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Egypt,2,MEKO-A200,Frigate,(2018),,,EUR1 b deal,51.165691,10.451526,DEU,26.820553,30.802498,EGY
Germany,Finland,3,SQS-12,MCM sonar,2006,2012-2016,3,For 3 Gaeta MCM ships from Italy,51.165691,10.451526,DEU,61.92411,25.748151,FIN
Germany,France,(32),MTU-4000,Diesel engine,(2005),2012-2018,20,For 8 Aquitaine (FREMM) frigates produced in France,51.165691,10.451526,DEU,46.227638,2.213749,FRA
Germany,France,(15),OM-924,Diesel engine,2009,2010,(15),For 15 Aravis APC produced in France,51.165691,10.451526,DEU,46.227638,2.213749,FRA
Germany,Gabon,(2),EC135,Light helicopter,(2010),2011,(2),,51.165691,10.451526,DEU,-0.803689,11.609444,GAB
Germany,Gabon,12,OM-924,Diesel engine,2014,2015-2016,(12),For 12 Aravis APC from France,51.165691,10.451526,DEU,-0.803689,11.609444,GAB
Germany,Ghana,2,Type-143,Patrol craft,2010,2012,2,Second-hand | $38 m deal | FAC modified to patrol craft and modernized before delivery,51.165691,10.451526,DEU,7.946527,-1.023194,GHA
Germany,Greece,1,Type-209/1200,Submarine,2002,2014,1,Greek Type-209/1200 (Poseidon) submarine rebuilt to new version | order for 2 more cancelled and replaced by order for 2 new Type-214 | delivery delayed several years after disagreement between Greece and producer,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,8,MTU-595,Diesel engine,2003,2010-2015,8,MTU-16V-595 version for 2 Super Vita (Rousen) FAC from UK,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,(70),RIM-116A RAM,SAM,(2003),2010-2015,(70),For Super Vita (Roussen) FAC,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,223,M-109A5 155mm,Self-propelled gun,(2008),2010,223,Second-hand | EUR10 m deal | M-109A3GEA2 version,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,8,MTU-595,Diesel engine,(2008),,,MTU-16V-595 version for 2 Super Vita (Roussen) FAC from UK,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,(70),RIM-116A RAM,SAM,(2008),,,For Super Vita (Rousen) FAC | supplier could be USA,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Greece,15,M-113,APC,2012,2013,15,Second-hand | M-577 version | EUR0.1 m deal,51.165691,10.451526,DEU,39.074208,21.824312,GRC
Germany,Hungary,2,A319,Transport aircraft,(2017),2018,2,Second-hand,51.165691,10.451526,DEU,47.162494,19.503304,HUN
Germany,Hungary,20,EC145,Light helicopter,2018,,,Armed H145M (EC145M) version,51.165691,10.451526,DEU,47.162494,19.503304,HUN
Germany,Hungary,12,Leopard-2A4,Tank,2018,,,Second-hand | part of HUF160 b ($565 m) deal | for training | delivery planned 2020,51.165691,10.451526,DEU,47.162494,19.503304,HUN
Germany,Hungary,44,Leopard-2A7,Tank,2018,,,Part of HUF160 b ($565 m) deal | Leopard-2A7+ version | delivery planned after 2020,51.165691,10.451526,DEU,47.162494,19.503304,HUN
Germany,Hungary,24,PzH-2000 155mm,Self-propelled gun,2018,,,Part of HUF160 b ($565 m) deal | delivery planned after 2020,51.165691,10.451526,DEU,47.162494,19.503304,HUN
Germany,India,(155),MTU-838,Diesel engine,(2000),2004-2014,(155),For 124 Arjun tanks produced in India (incl spare engines),51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,24,MAN V6,Diesel engine,2005,2017,4,For 6 Scorpene submarines from France,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,6,MTU-8000,Diesel engine,2006,2010-2013,6,MTU-20V-8000 version | for 3 Vishwast OPV produced in India,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,2,MAN-8L-48,Diesel engine,2009,2011,2,For 1 Deepak support ships from Italy,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,2,MAN-8L-48,Diesel engine,2009,2011,2,For 1 Deepak support ship from Italy,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,(4),BR-710,Turbofan,(2011),2015,(4),For 2 Global-5000 AGS aircraft from Canada and Israel,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,(118),MTU-838,Diesel engine,(2014),,,For 118 Arjun-2 tanks produced in India | selected but not yet ordered by end-2018,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,India,(100),MTU-881,Diesel engine,2017,2018,(10),For 100 K-9 self-propelled guns from South Korea,51.165691,10.451526,DEU,20.593684,78.96288,IND
Germany,Indonesia,(24),D2862,Diesel engine,(2009),2011-2014,(24),For 8 KCR-40 FAC produced in Indonesia,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,18,G-120TP,Trainer aircraft,2011,2013-2014,(18),$72 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,3,KaleidoScope,Submarine sonar,2011,2017-2018,2,For 3 Type-209/1400 (Nagapasa) submarines from South Korea,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,(8),MTU-4000,Diesel engine,(2011),2014,6,MTU-12V-4000 for 4 KCR-60 FAC produced in Indonesia,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,12,MTU-493,Diesel engine,2011,2017-2018,8,For 3 Type-209/1400 (Nagapasa) submarines from South Korea,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,2,BPz-2,ARV,2012,2015,(2),Second-hand | part of EUR216 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,3,BrPz-1 Biber,ABL,2012,2015-2016,3,Second-hand | part of EUR216 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,3,Buffel,ARV,2012,2016,(3),Second-hand Leopard-2 tank modified to Buffel ARV,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,61,Leopard-2A4,Tank,2012,2016-2017,61,Second-hand but modernized to Leopard-2RI before delivery,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,42,Leopard-2A4,Tank,2012,2013-2015,42,Second-hand | part of EUR216 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,(42),Marder-1A3,IFV,2012,2013-2015,(42),Second-hand (possibly modernized before delivery | 8 more delivered for spare parts only) | part of EUR216 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,37,OM-366,Diesel engine,2012,2014-2015,(37),For 37 CAESAR self-propelled guns from France,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,3,PiPz-1,AEV,2012,2016,3,Second-hand | part of EUR216 m deal,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,18,OM-366,Diesel engine,2017,,,For 18 CAESAR self-propelled guns from France,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Indonesia,2,Frankenthal/Type-332,MCM ship,(2018),,,,51.165691,10.451526,DEU,-0.789275,113.921327,IDN
Germany,Iraq,8,MTU-956,Diesel engine,1981,2017,8,For 2 Assad corvettes from Italy,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,24,EC135,Light helicopter,2009,2011-2012,24,EUR360 m deal | armed EC-635 version | ordered via France,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,(90),AIM-9L Sidewinder,SRAAM,2013,2015,(90),Second-hand AIM-9L modernized to AIM-9L/I-1 version before delivery,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,15,Dingo-2,APC,2014,2014-2015,15,Second-hand | Dingo-1 version | for Kurdish Regional Government to use against Islamic State rebels,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,(1200),MILAN,Anti-tank missile,2014,2014-2016,(1200),Aid | for Kurdish Regional Government to use against Islamic State rebels,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,5,Dingo-2,APC,2015,2016,5,Second-hand | Dingo-1 version | for Kurdish Regional Government to use against Islamic State rebels,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Iraq,200,MILAN,Anti-tank missile,2015,2016,200,Second-hand | aid | for Kurdish Regional Government to use against Islamic State rebels,51.165691,10.451526,DEU,33.223191,43.679291,IRQ
Germany,Israel,(790),MTU-883,Diesel engine,(2000),2002-2017,(785),For Merkava-4 tanks and Namer APC produced in Israel | assembled in USA from components produced in FRG,51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,(150),DM2A4 Seehecht,AS/ASW torpedo,(2002),2014-2018,(70),,51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,2,Dolphin/Type-800,Submarine,2006,2014-2015,2,EUR1 b deal (33% financed by FRG),51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,1,MPQ-53,SAM system radar,2011,2011,1,Second-hand | loan (while Israeli radar being modernized),51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,1,Dolphin/Type-800,Submarine,2012,,,EUR405 m deal (33% financed by FRG) | delivery planned 2019,51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,(125),MIM-104A Patriot,SAM,(2012),2013,(125),Second-hand | loan,51.165691,10.451526,DEU,31.046051,34.851612,ISR
Germany,Israel,2,Patriot,SAM system,(2012),2013,2,Second-hand | aid (loan),51.165691,10.451526,DEU,31.046051,34.851612,ISR
