Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malta,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,
Moldova,,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,11,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,0,
Mujahedin (Afghanistan)*,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,558,416,455,365,455,627,473,499,614,624,359,284,203,233,331,204,505,1146,1213,446,495,371,546,858,374,631,461,471,1048,438
New Zealand,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,75,,,1,6,4,6
Nicaragua,2,2,,72,17,,5,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,58,4,113,131,137,24,41,47,47,81,55,58,73,162,134,47,20,20,20,20,26,5,,,,1,,,,
Norway,127,85,170,75,51,64,21,4,19,3,5,3,42,92,101,66,6,17,65,118,155,159,151,172,175,164,212,122,153,58
Oman,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,7,
Pakistan,1,82,3,,,2,,,,,,3,1,9,8,9,24,4,,1,,,,,,,,1,3,2
Peru,,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Poland,20,105,55,56,,131,175,46,21,1,64,47,81,56,81,47,18,282,163,73,75,28,8,24,142,24,3,5,15,21
Portugal,71,,,,1,,,,,,,,,,,,,,,99,46,,0,0,,18,7,172,56,3
Qatar,,,,,40,,,,,,9,,,,,,,2,,,,,0,,,,,,,3
Romania,25,7,5,14,16,29,9,4,11,2,19,3,,,24,,3,8,32,,2,1,0,108,108,,,,,
Russia,,,,2605,3439,1475,3891,3571,3347,2040,4264,4503,5291,5746,5169,6288,5229,5159,5535,6253,5066,6275,8730,8261,7986,5527,5990,6841,6015,6506
Saudi Arabia,,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,,,
Serbia,,,,,,,,20,5,,,,11,,,,,5,5,45,1,31,4,11,11,10,35,23,2,27
Seychelles,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Singapore,87,44,3,3,11,30,,0,46,23,11,11,,4,,65,,,,,31,25,13,76,1,2,48,47,,
Slovakia,,,,,173,37,97,59,55,10,125,37,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,12
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
South Africa,0,,54,75,54,11,17,31,7,22,28,21,37,17,43,72,30,187,127,141,103,235,71,184,103,65,58,74,77,65
South Korea,48,72,118,,60,7,28,24,21,32,,10,228,,96,73,108,158,279,109,224,197,345,218,347,163,101,479,751,1066
Soviet Union,11749,9895,5640,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,174,108,100,65,98,237,82,105,625,162,43,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,471,820,1025
Sri Lanka,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Sweden,403,231,156,149,103,111,196,347,102,336,386,359,895,163,515,294,534,390,336,453,409,659,694,478,388,336,175,261,82,159
Switzerland,311,454,482,446,234,173,139,186,118,211,280,182,209,166,185,255,253,296,302,459,229,251,327,230,175,330,471,212,173,237
Syria,,,,40,40,,,0,0,,,,,,,,,3,,,20,20,,,,,,,,
Taiwan,42,6,,,,,,4,5,,,,6,0,,,,,,,16,,,2,,,4,,2,
