Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,12,0,0,0,36,BN,4.535277,114.727669,Brunei,BRN
Canada,38,61,274,83,233,179,280,336,544,119,52,314,188,214,253,111,102,53,197,166,196,293,327,130,121,148,329,169,190,195,161,130,259,120,108,100,261,279,153,49,101,121,143,146,167,263,160,95,40,79,74,129,183,288,286,242,244,342,247,192,250,330,277,191,203,346,120,72,111,188,13144,CA,56.130366,-106.346771,Canada,CAN
Switzerland,0,0,0,0,0,0,0,0,0,50,442,500,530,337,379,484,367,261,91,104,18,42,34,54,89,395,480,260,196,446,482,513,398,314,512,344,337,303,352,311,454,482,446,234,173,139,186,118,211,280,182,209,166,185,255,253,296,302,459,229,251,327,230,175,330,471,212,173,237,254,17342,CH,46.818188,8.227512,Switzerland,CHE
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,4,4,0,3,8,0,0,0,29,0,2,1,1,0,1,0,0,0,0,0,100,0,0,0,0,0,20,0,0,0,0,0,181,CL,-35.675147,-71.542969,Chile,CHL
China,0,0,0,0,3,0,39,30,463,361,285,35,51,11,67,386,619,410,730,657,893,1292,1238,674,511,668,586,224,617,560,949,642,1504,1770,1929,1263,1861,2605,1411,1041,941,1312,700,1436,1105,1010,768,429,353,332,299,515,525,700,413,286,668,510,652,1140,1478,1277,1540,2080,1226,1799,2372,1346,1140,1423,56160,CN,35.86166,104.195397,China,CHN
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,CI,7.539989,-5.54708,Cote d'Ivoire,CIV
DR Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,CD,-4.038333,21.758664,DR Congo,COD
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,26,CO,4.570868,-74.297333,Colombia,COL
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CR,9.748917,-83.753428,Costa Rica,CRI
Cuba,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,CU,21.521757,-77.781167,Cuba,CUB
