,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malaysia,1019.3,1125.0,1572.0,1766.5,1923.4,2120.6,2444.1,2421.0,2089.1,1158.7,1663.3,1533.2,1934.5,2237.9,2881.6,2823.2,3120.3,3266.2,3970.5,4411.8,3964.8,3854.3,4692.5,4507.3,4915.7,4919.2,4532.1,4169.4,3494.8,3469.8,3769.0
Myanmar,550.2,814.0,942.7,1370.5,2061.8,2802.0,3932.1,4675.4,4780.5,5873.1,6950.1,9030.6,9464.4,11000.4,24189.1,29853.9,32954.3,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Philippines,954.9,951.5,913.2,1078.8,1173.0,1392.2,1700.4,1879.3,1576.4,1225.6,1341.0,1303.1,1122.1,1199.1,1301.3,1243.2,1372.7,1607.3,2014.4,2270.9,2115.8,2438.2,2701.5,2898.7,3377.0,3103.1,3335.6,3331.5,4096.3,2842.6,3471.6
Singapore,1410.5,1801.9,2022.8,2332.1,2481.4,2797.2,3672.8,4100.2,4457.3,4466.3,4493.2,4330.7,4309.1,4528.1,4723.7,5043.4,5463.8,5830.5,6518.5,7454.3,7537.8,8108.9,8922.3,9171.9,9345.7,9596.6,9383.8,9873.3,10178.7,10835.2,11211.1
Thailand,1939.7,2214.0,2598.3,2961.8,3156.3,3611.1,3849.0,3938.0,3264.8,2110.2,2056.8,1881.0,1724.8,1813.0,1891.5,1866.9,1984.5,2441.9,3522.6,4466.0,4799.7,4962.4,5513.0,5491.9,5901.3,5729.8,5724.8,5876.3,6320.7,6876.1,7314.9
Timor-Leste,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,8.2,17.1,23.7,23.7,36.5,26.4,20.5,33.4,31.7,29.6,37.0,26.2,25.4,20.6,34.4
Viet Nam,458.6,512.0,427.6,333.0,297.7,431.3,. .,. .,. .,. .,. .,. .,. .,. .,841.9,915.1,1026.4,1286.5,1784.2,2137.6,2401.5,2672.3,2686.5,. .,. .,. .,. .,. .,. .,. .,. .
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,6300.0,6704.2,7023.5,6882.1,6733.8,7459.7,7665.9,8202.8,7936.9,7107.5,7770.3,7273.8,7043.1,7946.8,9926.6,11995.2,13237.8,14239.8,17186.4,18633.1,18960.1,23217.7,26597.2,26216.6,24825.3,25783.7,24046.2,26382.9,27691.1,26839.8,25912.4
Fiji,29.1,30.5,32.5,30.5,32.0,33.7,34.7,32.9,31.0,22.6,23.8,32.0,32.8,30.9,37.3,46.8,43.1,54.1,75.6,53.6,51.3,50.4,60.8,59.2,58.1,74.8,42.6,54.4,75.3,83.1,83.5
New Zealand,959.6,1057.7,989.0,870.4,866.8,979.5,1146.4,1238.3,1180.9,969.4,970.3,858.4,796.6,865.8,1132.8,1285.2,1389.8,1464.0,1714.0,1661.2,1623.0,1930.7,2080.1,2094.9,2134.1,2274.1,1943.8,2093.4,2328.2,2525.0,2927.0
Papua New Guinea,53.1,68.7,52.6,58.6,68.6,83.3,56.4,78.7,79.6,49.7,35.7,33.6,25.2,17.0,19.3,24.4,30.5,31.3,39.3,39.3,52.0,46.3,64.2,110.6,105.1,112.4,99.8,79.1,80.9,80.0,80.8
Albania,. .,. .,. .,31.6,39.3,49.6,50.9,45.7,29.8,33.6,42.8,45.4,53.2,58.6,76.1,100.9,110.1,141.0,194.8,255.7,182.7,185.9,197.0,183.2,180.0,178.1,132.4,130.9,144.4,175.9,197.5
Bosnia-Herzegovina,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,241.0,202.3,200.1,173.3,178.4,195.0,233.3,242.5,219.9,211.9,197.3,197.6,190.4,162.2,157.9,156.3,172.1,183.2
Bulgaria,2071.4,794.5,232.2,255.8,282.7,242.0,311.1,213.6,244.4,320.4,357.2,351.3,406.0,456.0,569.1,620.9,667.7,715.7,990.2,1161.5,905.0,832.5,757.9,722.1,811.6,747.5,632.5,670.6,720.0,961.3,2127.1
Croatia,xxx,xxx,xxx,782.0,1168.9,1625.2,2060.4,1938.7,1797.2,1427.3,1035.9,659.8,629.5,733.7,709.4,730.9,799.2,849.4,978.9,1296.0,1129.1,1015.9,1106.5,955.3,957.0,1063.5,883.2,836.7,920.8,966.4,1009.2
Czechia,xxx,xxx,xxx,xxx,815.6,938.3,1065.4,1123.9,988.3,1166.1,1205.9,1157.3,1182.5,1494.4,1885.7,2042.1,2439.5,2450.0,2707.7,2918.7,2718.6,2497.9,2474.3,2220.6,2148.8,2022.9,1779.9,1954.9,2077.7,2710.0,2910.3
Czechoslovakia,. .,2334.3,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,xxx,xxx,xxx,. .,13.1,25.1,36.3,41.4,53.0,59.9,73.8,78.3,93.8,122.1,171.4,205.0,204.5,236.3,372.0,429.7,353.4,332.2,389.2,436.9,479.3,512.1,463.6,497.7,537.4,606.7,656.1
German DR,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,812.6,847.4,722.5,812.0,735.9,757.1,612.2,585.3,696.0,618.5,702.9,715.9,845.1,1079.2,1401.6,1532.6,1596.1,1410.1,1776.5,1867.9,1475.8,1350.8,1472.1,1322.3,1280.1,1209.8,1132.5,1288.7,1463.0,1791.5,1904.4
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.9,27.2,38.6,51.0,43.4,48.6,53.6,50.0,51.9,57.3,63.3,65.7
Latvia,xxx,xxx,xxx,. .,17.7,33.9,43.6,38.2,38.0,42.2,56.6,70.0,87.0,147.2,189.1,229.4,272.6,367.8,481.5,581.8,363.8,259.7,296.8,255.7,283.6,295.7,282.7,404.6,482.5,723.5,709.8
Lithuania,xxx,xxx,xxx,. .,20.8,21.1,30.5,42.3,75.6,138.2,106.5,140.4,166.9,181.5,210.8,270.8,303.8,351.6,442.0,541.4,404.8,326.3,344.6,328.6,354.9,426.9,471.2,635.4,812.1,1056.4,1083.7
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,60.8,62.3,64.2,85.1,76.7,75.1,79.4,67.7,64.8,67.5,56.9,61.7,65.7,78.9,89.3
North Macedonia,xxx,xxx,xxx,,,,,130.6,83.3,79.0,66.2,69.8,226.3,106.3,115.8,135.3,127.0,126.0,162.6,172.7,158.7,130.0,132.5,119.4,126.5,124.2,100.0,103.5,100.8,119.6,151.2
Poland,1493.9,1540.7,1722.0,1881.9,2123.4,2251.9,2719.4,3083.4,3192.3,3491.0,3226.6,3146.1,3630.6,3776.2,4150.3,4778.6,5896.4,6619.4,8589.1,9349.4,7903.8,8790.2,9455.4,8986.8,9275.7,10345.2,10212.8,9164.2,9870.7,12040.7,11902.5
Romania,2572.1,1739.0,1377.2,831.6,722.5,936.7,983.1,874.5,1074.8,1254.2,955.3,935.6,985.7,1056.1,1250.3,1530.2,1976.0,2251.5,2607.7,3000.4,2225.1,2086.2,2379.9,2102.9,2452.5,2691.5,2580.6,2644.2,3622.1,4359.0,4945.0
Serbia,xxx,xxx,xxx,. .,. .,. .,. .,. .,914.4,642.1,737.5,337.1,494.1,678.5,730.6,739.2,629.5,705.1,971.6,1111.6,974.3,872.3,987.0,853.6,919.8,913.4,724.2,710.4,801.7,817.7,1143.8
Slovakia,xxx,xxx,xxx,xxx,266.9,300.0,629.6,641.6,499.5,397.6,327.2,342.3,394.0,440.1,624.5,711.3,823.3,911.4,1139.2,1411.7,1350.3,1137.7,1064.8,1020.2,967.9,997.7,985.9,1003.0,1049.1,1296.0,1865.2
Slovenia,xxx,xxx,xxx,281.4,230.3,237.9,334.7,330.0,290.8,301.1,274.8,222.4,271.5,327.0,416.9,493.2,514.2,608.8,692.7,829.4,798.9,772.1,665.7,543.5,506.7,486.2,400.8,449.2,473.8,529.5,568.7
Yugoslavia,. .,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .
Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,xxx,xxx,xxx,. .,9.8,. .,52.2,52.4,64.1,66.8,68.2,68.1,66.2,64.1,76.6,98.1,140.7,188.2,280.1,396.0,359.5,395.0,390.9,380.6,444.6,457.8,447.4,431.4,443.6,608.9,673.3
Azerbaijan,xxx,xxx,xxx,11.1,77.5,43.9,66.2,71.6,92.1,107.3,120.3,119.6,132.0,139.9,176.6,228.2,304.5,717.1,946.6,1607.8,1472.9,1476.6,3080.1,3246.1,3367.6,3427.2,2900.6,1397.0,1528.9,1672.2,1854.2
Belarus,xxx,xxx,xxx,. .,. .,. .,179.1,182.8,249.4,227.6,165.9,140.3,177.7,204.4,231.6,314.3,452.7,631.8,746.9,883.0,675.4,767.7,756.3,817.1,971.1,1010.8,723.7,597.2,631.1,715.2,780.1
Georgia,xxx,xxx,xxx,. .,. .,. .,. .,67.7,44.0,41.1,25.9,18.8,23.8,34.0,42.6,70.4,214.1,404.2,931.8,1090.2,603.7,454.2,468.8,492.0,441.9,415.6,299.5,315.2,312.2,327.4,316.1
Moldova,xxx,xxx,xxx,. .,. .,. .,13.3,15.4,17.4,10.6,6.0,5.1,6.0,7.0,8.2,9.4,12.0,16.4,22.7,36.8,24.9,18.3,23.0,23.9,26.7,27.6,23.1,27.4,30.9,37.4,44.5
Russia,xxx,xxx,xxx,. .,7766.7,13547.9,12741.6,15826.3,17577.4,7955.7,6469.0,9228.2,11683.2,13943.8,16973.7,20955.4,27337.0,34517.8,43535.0,56183.8,51532.1,58720.2,70237.5,81469.4,88352.9,84696.5,66418.3,69245.3,66527.3,61387.5,65102.6
Ukraine,xxx,xxx,xxx,. .,123.4,683.6,779.3,1009.6,1449.7,912.2,620.8,696.4,741.7,872.4,1104.8,1322.2,1680.1,2085.9,2860.9,3360.3,2320.4,2587.4,2502.3,2835.9,2895.0,2997.2,2959.6,2943.8,3246.8,4169.7,5228.9
USSR,218759.7,219114.1,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Austria,1623.5,1972.7,1994.1,2139.9,2115.1,2227.6,2557.8,2457.9,2164.8,2159.8,2124.4,1925.6,1788.8,1881.7,2382.0,2679.3,2686.2,2640.2,3499.8,3746.7,3334.8,3218.4,3409.7,3187.2,3229.1,3305.2,2665.4,2885.9,3138.4,3388.0,3237.8
Belgium,3880.7,4644.3,4624.5,4131.3,3746.0,3944.1,4449.0,4241.9,3684.1,3664.3,3598.4,3190.8,3036.0,3147.1,3875.7,4262.7,4228.2,4307.9,5164.0,6295.8,5620.7,5244.7,5499.4,5169.0,5263.2,5191.5,4202.1,4255.5,4432.5,4840.5,4817.5
Cyprus,245.0,411.4,418.4,630.1,268.3,298.5,298.8,448.1,534.1,483.7,290.0,281.2,327.6,242.5,288.4,338.5,380.9,387.7,405.2,453.8,471.4,477.6,479.7,414.5,384.9,357.8,327.9,295.4,359.1,445.2,401.7
Denmark,2183.7,2649.9,2671.9,2837.7,2682.0,2718.8,3118.0,3086.2,2804.3,2846.1,2784.9,2392.5,2525.2,2694.1,3199.2,3578.8,3468.5,3896.7,4175.7,4788.0,4337.4,4503.5,4518.6,4422.5,4216.6,4056.9,3364.0,3592.7,3764.0,4558.7,4556.8
Finland,1766.6,2141.3,2201.0,2076.0,1615.4,1756.3,1909.0,2021.8,1947.0,1959.7,1653.9,1558.1,1479.3,1611.4,2475.1,2892.9,2999.4,3128.5,3296.6,3958.1,3940.6,3717.2,4099.5,3943.2,4161.1,3985.5,3399.1,3415.0,3431.1,3756.9,3971.1
France,29665.5,35774.4,35869.1,37902.3,35775.3,37288.6,40124.0,38977.7,34697.9,33633.6,32672.7,28403.1,27951.6,30578.4,38569.1,44524.6,44442.1,45792.1,50684.5,55366.0,56441.5,52044.1,54120.9,50216.5,52001.5,53134.8,45647.5,47370.6,49195.7,51409.8,50118.9
Germany,32141.7,40477.0,37796.5,40139.4,35595.4,34749.1,39367.4,37293.0,31771.9,31703.9,31185.0,26924.9,26231.7,28056.6,33529.4,36353.5,36397.9,36434.6,41116.1,46459.9,46119.8,44853.0,46765.5,44470.3,44865.7,44216.1,37020.1,39724.9,42365.8,46511.6,49276.8
Greece,2560.3,3193.4,3146.9,3623.1,3364.4,3587.2,4179.9,4613.2,4573.5,4824.3,5012.3,4564.5,4428.1,4734.2,5035.6,6267.5,7028.4,7607.2,8533.1,10574.1,10641.3,8163.6,7128.6,5915.0,5655.2,5531.3,4818.1,4963.5,5088.2,5757.1,5471.6
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,434.2,594.0,624.9,674.0,597.7,633.7,702.0,751.0,765.3,742.4,741.5,694.7,767.8,811.3,965.2,1101.9,1145.0,1190.4,1372.2,1582.9,1415.7,1274.2,1300.3,1157.5,1195.8,1192.7,997.0,1001.6,1025.1,1107.1,1112.7
Italy,17675.5,20734.6,21585.7,22177.1,18242.0,18062.5,17185.9,20793.1,20156.1,20825.1,21016.5,19878.7,19519.4,21610.1,26824.2,30261.1,29737.6,29633.0,31982.4,36840.0,34054.5,32020.8,33828.8,29781.0,29957.4,27701.0,22180.8,25033.0,26447.9,27807.5,26790.4
Luxembourg,76.0,96.7,107.7,123.2,108.1,126.0,142.3,141.5,134.1,143.1,140.8,128.2,160.3,153.4,198.6,234.7,243.7,247.1,286.1,236.7,223.0,274.1,257.0,237.5,258.7,279.0,276.1,260.7,357.7,393.2,428.8
Malta,21.3,21.2,21.7,26.7,24.6,27.9,31.1,33.3,31.1,29.1,28.0,25.4,27.1,28.4,34.1,40.5,52.5,44.4,49.3,56.0,59.1,58.7,55.9,49.9,53.8,56.5,51.8,59.7,64.2,66.9,83.6
Netherlands,6399.2,7420.8,7246.2,7904.6,7054.9,7137.4,8011.5,7829.0,6839.1,6836.1,7026.4,5971.8,6200.4,6728.2,8356.3,9377.1,9567.0,10217.8,11480.4,12374.8,12131.8,11220.5,11647.9,10364.7,10226.3,10332.6,8667.8,9115.2,9580.7,11114.9,12059.6
Norway,2932.6,3394.9,3287.6,3803.7,3175.6,3403.3,3508.0,3537.0,3253.0,3324.9,3309.2,2922.3,2966.0,4065.9,4517.5,4887.4,4884.9,5011.7,5875.3,6370.9,6195.6,6498.7,7232.3,7144.0,7391.8,7336.8,5815.2,5997.4,6465.8,7067.1,7003.4
Portugal,1456.5,1875.1,2115.4,2532.6,2192.2,2173.6,2670.1,2600.8,2388.7,2335.6,2406.5,2204.3,2324.8,2602.2,3109.8,3719.4,4039.3,4066.8,4366.2,4812.1,4949.7,4718.9,4904.4,4137.3,4724.1,4111.5,3565.4,4133.1,3675.7,4420.2,4513.0
Spain,9302.9,11695.0,11680.3,12250.2,10041.5,10092.7,11439.9,11294.3,9865.9,10333.4,11113.7,10273.8,10222.1,10270.8,12880.5,15262.5,15997.7,17252.2,20065.7,22227.7,20178.3,19710.8,19695.4,18860.6,17243.0,17178.5,15188.9,14014.4,16043.5,17823.3,17176.7
Sweden,5033.0,6169.5,6219.5,6418.6,5011.2,5154.5,5729.8,6203.4,5203.2,5132.3,5148.7,4789.4,4128.0,4354.6,5305.6,5514.7,5518.5,5577.2,6386.2,6024.8,5063.0,5885.9,6324.7,6243.7,6528.7,6555.5,5387.1,5427.5,5526.6,5732.8,5920.1
Switzerland,3082.0,4056.4,4016.8,4138.0,3611.2,3899.3,4645.4,4239.4,3498.2,3494.3,3146.8,2800.1,2763.7,2882.7,3270.3,3503.8,3484.6,3329.0,3524.7,4098.5,4055.5,4115.4,4973.9,4592.2,5032.9,4612.8,4521.1,4571.3,4628.4,4654.7,5179.1
UK,33498.7,38943.8,42074.3,40774.9,34085.9,34493.5,34247.8,34490.9,35674.9,36866.3,36453.4,35254.8,35331.9,39659.5,46943.0,53970.3,55151.6,57483.0,65986.1,65619.5,57914.6,58082.8,60270.4,58495.7,56861.8,59182.9,53862.2,48118.9,46433.3,49892.1,48650.4
Bahrain,218.1,239.4,263.3,279.3,279.3,284.6,303.2,321.8,321.8,329.8,364.4,359.0,372.3,444.1,516.0,531.9,513.3,574.2,642.6,719.9,828.2,842.8,1033.5,1182.2,1347.6,1475.3,1442.0,1505.5,1532.7,1527.7,1404.8
Egypt,3516.3,2260.6,1345.8,1415.8,1526.2,1714.4,1948.9,2115.7,2267.7,2372.0,2448.0,2627.7,2834.3,2902.8,2383.9,2369.7,2659.4,2952.5,3306.9,3779.9,4017.4,4407.3,4464.0,4557.7,4359.8,5085.1,5475.5,4513.0,2765.6,3119.6,3743.7
Iran,16301.8,16474.4,17549.6,19732.6,1448.2,1703.2,2501.5,3551.0,4642.4,5479.4,6650.3,8327.1,10378.8,3243.9,3717.1,5243.6,6796.7,8751.5,9330.9,11082.0,12584.6,13561.3,14277.7,16494.0,11997.2,9901.1,10588.8,12264.0,13931.2,11230.9,12623.2
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,613.7,1120.3,1236.1,1989.9,3116.3,3237.2,3752.9,4278.6,4141.1,7780.2,6923.6,9604.2,5970.4,7416.4,6318.0,7598.8
Israel,5550.7,6528.8,9337.6,7313.4,7752.8,7772.2,7946.0,8499.4,8580.7,8095.6,7652.6,8327.5,8504.3,7981.5,8225.3,8605.1,8921.9,9315.3,11382.2,13803.7,12754.2,13875.2,15163.2,14600.7,16324.8,17810.0,16516.8,17488.2,19434.1,19759.2,20464.9
Jordan,382.9,322.4,433.3,367.7,391.1,407.9,299.8,417.5,444.3,496.5,512.0,529.3,528.9,521.9,611.8,586.7,603.7,701.6,1032.4,1358.4,1568.3,1557.9,1594.8,1472.8,1444.9,1548.9,1614.9,1769.4,1939.7,1957.7,2032.1
Kuwait,2076.4,8961.5,12924.4,6316.0,2980.1,3296.1,3692.4,3241.4,2454.3,2282.2,2286.4,2697.1,2685.7,2821.5,3130.7,3450.1,3509.4,3597.8,4115.7,4430.3,4208.9,4335.2,5393.5,5941.5,5698.1,5832.1,5735.1,6446.7,6764.6,7296.3,7709.8
Lebanon,. .,214.4,229.5,442.8,453.0,637.5,746.3,735.6,678.2,693.9,829.7,930.0,958.5,907.5,923.4,954.6,962.5,1009.0,1152.2,1169.5,1426.2,1585.4,1626.5,1757.2,1935.7,2270.1,2239.4,2606.5,2441.1,2775.6,2521.2
Oman,1171.5,1447.9,1254.8,1517.2,1439.9,1520.1,1513.8,1437.2,1482.1,1318.2,1340.4,1577.2,1819.9,1868.5,1969.3,2230.7,2739.0,3022.6,3244.6,3462.5,3367.5,3671.4,5000.7,9250.7,8766.3,8213.5,7533.6,7936.0,6802.7,7565.3,6729.5
Qatar,848.5,790.8,895.6,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,761.0,784.6,772.4,887.5,1065.7,1562.2,2317.5,1948.4,1876.8,. .,. .,. .,. .,. .,. .,. .,. .,. .
Saudi Arabia,12749.9,16355.5,16355.5,15360.3,16451.2,14279.7,13200.3,13340.0,18126.7,20861.6,18320.0,19964.3,21026.7,18501.9,18747.5,20910.4,25392.0,29580.5,35469.5,38222.9,41267.2,45244.5,48530.9,56497.9,67020.0,80762.4,87185.9,63672.8,70400.0,74400.0,61866.7
Syria,1483.7,1641.8,2893.8,2976.6,1426.1,1636.3,957.9,995.1,1046.9,1096.0,1127.6,897.0,1022.5,1102.9,1436.2,1388.5,1450.3,1435.2,1599.0,1732.4,2182.0,2346.0,2494.9,. .,. .,. .,. .,. .,. .,. .,. .
Turkey,3373.7,5315.4,5670.7,6157.9,7075.1,5293.2,6606.2,7512.1,7792.0,8781.0,9951.8,9993.7,7216.1,9050.4,10277.9,10920.8,12081.2,13036.5,14987.8,16809.6,16047.5,17650.5,17006.5,17694.3,18427.6,17576.6,15668.8,17827.7,17822.7,19648.7,20447.7
UAE,. .,. .,. .,. .,. .,. .,. .,. .,3335.8,4010.3,4233.1,5875.8,5798.0,5354.1,5834.7,6816.9,6604.2,7165.4,8461.0,11571.7,13836.4,17504.7,19181.8,19024.1,23561.1,22755.1,. .,. .,. .,. .,. .
Yemen,xxx,807.1,1028.2,1306.9,1535.5,2353.3,805.9,416.0,397.1,384.5,395.3,473.7,540.1,737.4,807.3,735.5,815.6,822.1,1050.5,1196.4,1420.8,1448.2,1612.3,1618.8,1648.8,1714.8,. .,. .,. .,. .,. .
"Yemen, North",. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
