,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,. .,. .,71.8,55.7,44.0,45.9,. .,. .,44.4,45.0,55.2,46.0,87.7,98.1,84.1,81.0,. .,. .,. .,. .,. .,. .,. .,168.9,196.8,196.9,221.4,161.9,181.6,197.1,195.1
Guinea-Bissau,4.4,. .,. .,. .,. .,2.0,2.2,1.9,1.8,2.9,. .,9.5,6.2,6.4,7.5,. .,12.1,. .,. .,. .,13.7,17.1,17.5,24.5,21.7,21.5,17.0,15.7,19.0,. .,. .
Kenya,228.6,246.5,191.9,156.0,105.7,117.3,149.1,170.8,175.8,172.0,151.9,165.6,195.4,213.9,245.9,259.8,316.8,375.8,494.7,580.0,578.1,622.0,646.7,840.1,860.6,819.0,843.7,933.1,1015.4,1113.6,1148.4
Lesotho,22.6,24.2,22.3,24.2,22.1,25.9,34.4,28.3,28.7,27.8,34.1,30.6,23.4,19.6,27.4,31.4,33.6,35.2,39.8,27.4,47.4,70.7,58.2,53.2,47.9,47.7,44.0,41.5,52.6,51.1,44.8
Liberia,. .,. .,25.0,22.7,30.5,39.3,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.2,8.0,3.9,3.5,3.9,7.2,8.5,13.3,15.2,15.1,14.5,14.8,14.7,13.3,13.7,16.6
Madagascar,30.2,37.9,34.7,23.1,37.8,27.6,27.2,49.4,52.5,50.4,45.0,47.2,65.0,57.7,72.5,54.5,54.0,53.9,81.9,103.3,71.0,56.9,72.0,68.6,71.9,69.7,58.9,59.4,66.9,73.3,76.6
Malawi,22.8,24.3,23.7,25.2,25.7,17.1,11.0,20.2,26.4,14.5,14.4,11.7,12.7,14.8,13.1,22.0,38.2,31.1,33.6,44.5,58.8,50.0,52.8,46.2,62.9,49.5,40.8,35.7,47.4,58.4,68.0
Mali,46.1,52.2,. .,. .,44.5,29.9,40.5,39.7,40.3,41.0,43.9,43.7,44.9,49.4,66.8,77.4,86.5,96.0,110.4,142.9,144.4,146.8,161.1,148.9,153.8,218.1,309.2,362.4,460.2,481.7,474.3
Mauritania,38.9,40.2,39.4,39.4,30.2,29.5,32.0,37.9,41.6,25.6,32.0,37.9,51.9,36.3,62.4,. .,66.7,81.9,. .,123.3,114.8,. .,. .,142.3,144.2,144.8,132.9,136.1,143.8,159.0,162.4
Mauritius,6.3,9.2,10.5,11.4,10.8,11.9,13.4,13.0,9.8,8.5,9.0,9.4,9.0,9.5,10.9,10.9,10.9,10.8,11.6,15.6,15.3,14.9,17.5,16.7,23.2,19.7,17.1,22.0,22.6,23.0,22.6
