,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
14,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,33,0,0,0,2,3,0,0,0,0,0,0,0,0,33,0,0,0,0,3,0,0,0,1,0,0,0,0,30,16,20,12,0,0,163,BS,25.03428,-77.39628,Bahamas,BHS
25,Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,58,70,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,BA,43.915886,17.679076,Bosnia-Herzegovina,BIH
18,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,6,140,0,0,3,0,75,75,75,66,96,115,147,142,331,1354,BY,53.709807,27.953389,Belarus,BLR
20,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BZ,17.189877,-88.49765,Belize,BLZ
24,Bolivia,0,6,0,0,2,0,0,0,26,3,6,4,2,4,2,1,1,14,16,1,2,2,13,10,20,33,16,1,11,49,39,26,6,0,0,18,13,0,56,66,0,11,25,16,9,2,0,0,0,9,19,0,0,5,1,1,9,2,3,5,1,25,12,1,46,0,27,7,1,34,741,BO,-16.290154,-63.588653,Bolivia,BOL
27,Brazil,0,615,0,133,113,379,55,152,140,129,237,212,62,128,25,150,57,218,236,110,219,181,514,602,256,539,582,554,895,407,367,64,75,92,125,89,140,234,129,745,150,168,90,58,313,248,545,473,239,365,121,631,223,110,86,224,179,189,180,156,311,306,328,223,209,219,109,100,272,169,16953,BR,-14.235004,-51.92528,Brazil,BRA
17,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,40,BB,13.193887,-59.543198,Barbados,BRB
28,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,18,1,0,5,18,2,1,15,1,0,0,46,65,0,8,12,85,60,0,13,0,0,0,3,3,0,0,0,0,17,31,7,5,0,4,1,0,0,1,2,0,0,33,33,229,22,15,122,36,0,0,0,0,921,BN,4.535277,114.727669,Brunei,BRN
22,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,BT,27.514162,90.433601,Bhutan,BTN
26,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,9,0,0,0,4,0,26,40,4,22,2,2,11,0,11,32,71,2,0,53,15,1,10,9,0,0,0,0,13,10,0,6,8,0,0,5,3,4,2,387,BW,-22.328474,24.684866,Botswana,BWA
35,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2,5,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,1,0,46,CF,6.611111,20.939444,Central African Republic,CAF
34,Canada,264,300,1004,1890,1125,1274,721,764,244,368,171,1576,1231,1012,728,527,273,243,324,504,611,455,382,80,224,195,28,28,172,235,441,452,276,649,646,848,810,787,742,67,160,751,410,201,482,411,431,362,130,198,570,538,436,152,353,118,105,446,398,101,228,336,197,202,316,408,233,334,157,200,32030,CA,56.130366,-106.346771,Canada,CAN
181,Switzerland,154,151,315,169,142,230,313,223,232,289,219,37,4,50,261,226,362,165,188,157,135,149,186,116,64,138,143,5,214,222,269,290,172,437,399,337,108,151,179,319,440,476,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,18,39,48,32,11,6,5,12,73,34,10,13,12182,CH,46.818188,8.227512,Switzerland,CHE
37,Chile,1,247,19,10,40,5,90,28,32,20,312,46,19,127,34,57,84,140,62,13,57,198,51,278,299,195,413,58,155,136,145,148,344,140,450,10,174,156,90,141,130,111,173,88,82,342,178,296,87,207,202,60,74,187,70,449,1095,662,397,335,475,326,62,54,141,144,40,50,70,15,11625,CL,-35.675147,-71.542969,Chile,CHL
38,China,2573,2197,3430,3144,3500,1730,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,106,201,303,481,1225,1237,325,730,1545,951,403,1749,2521,2819,2875,2342,3284,3582,2862,1654,1856,1387,1020,1088,1604,1323,1063,1267,1142,1371,1633,887,79524,CN,35.86166,104.195397,China,CHN
43,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,3,19,2,7,17,1,0,18,0,0,22,16,38,55,18,0,0,9,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,31,61,9,0,0,0,0,0,0,0,0,0,5,5,5,14,9,14,392,CI,7.539989,-5.54708,Cote d'Ivoire,CIV
33,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,3,0,0,8,1,12,0,0,29,73,0,1,0,28,114,5,126,16,11,5,1,3,8,0,3,0,0,0,4,6,9,4,0,7,6,0,0,5,2,0,1,0,10,0,9,139,122,9,20,8,2,15,833,CM,7.369722,12.354722,Cameroon,CMR
41,Congo,0,0,0,0,0,0,0,0,0,0,3,10,13,32,83,31,26,16,8,52,28,182,17,5,16,393,134,31,73,40,27,15,26,30,41,4,1,36,29,44,48,0,2,0,0,0,61,33,10,47,88,15,12,0,0,23,18,0,18,45,178,0,33,13,13,4,43,0,0,0,447,CD,-4.038333,21.758664,Congo,COD
39,Colombia,3,8,15,12,31,13,38,15,298,1,5,62,3,29,9,18,32,15,32,121,4,35,129,165,1,287,10,8,12,36,12,28,18,301,661,7,6,4,37,220,13,72,36,68,42,35,49,190,162,44,60,268,171,147,18,16,52,227,110,248,255,145,207,164,160,205,21,99,16,10,6051,CO,4.570868,-74.297333,Colombia,COL
40,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,9,KM,-11.875001,43.872219,Comoros,COM
42,Costa Rica,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,6,2,1,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,27,CR,9.748917,-83.753428,Costa Rica,CRI
45,Cuba,0,9,0,0,3,13,35,8,23,10,129,531,1307,284,248,130,232,162,155,155,155,162,462,430,418,200,317,615,509,416,353,995,981,775,423,352,281,73,167,94,169,159,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11943,CU,21.521757,-77.781167,Cuba,CUB
46,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,19,23,32,38,33,122,29,70,82,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,0,0,44,41,6,0,0,0,0,30,0,0,1323,CY,35.126413,33.429859,Cyprus,CYP
48,Czech Republic,96,419,803,975,1272,1287,469,153,562,840,534,667,547,585,579,698,690,754,868,851,748,1123,978,1080,1110,852,215,301,561,498,468,837,912,819,920,1158,807,662,587,872,277,57,0,0,0,1,25,6,0,1,13,57,42,94,7,594,45,10,23,6,13,71,22,15,0,0,0,0,7,8,29490,CZ,49.817492,15.472962,Czechoslovakia,CZE
68,Germany,29,0,178,92,10,85,2036,3393,3856,2019,2339,2245,3248,4072,4764,4245,4542,2505,2454,2089,2324,2915,1804,2762,3108,2393,2696,2132,1793,993,1083,1059,1543,1363,1520,1494,965,683,1029,1403,1120,694,685,535,423,228,246,61,543,129,113,133,71,64,238,199,409,75,285,339,282,84,131,113,95,96,55,43,14,39,56128,DE,51.165691,10.451526,Germany,DEU
50,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,33,5,2,3,3,0,1,8,1,0,0,0,1,19,5,0,2,0,0,0,0,1,0,3,0,4,7,0,0,0,0,0,0,6,5,14,1,18,0,0,8,159,DJ,11.825138,42.590275,Djibouti,DJI
49,Denmark,96,72,361,648,165,172,159,157,97,250,109,335,57,133,482,449,66,72,71,19,312,362,111,0,39,149,360,372,367,57,569,567,559,231,72,92,16,99,99,185,124,151,71,46,85,133,71,77,116,68,50,146,45,54,224,116,84,147,93,130,17,0,105,38,173,42,102,52,46,43,11234,DK,56.26392,9.501785,Denmark,DNK
51,Dominican Republic,2,12,43,21,2,6,7,1,17,4,19,11,0,7,5,10,9,1,1,0,1,2,7,0,0,2,12,0,0,0,9,5,31,0,25,2,0,0,3,0,0,0,0,0,0,0,4,0,6,1,13,5,0,8,35,2,0,0,0,10,51,12,0,0,0,1,0,0,0,0,428,DO,18.735693,-70.162651,Dominican Republic,DOM
