,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
86,Ireland,2,0,0,4,0,0,8,0,0,1,1,0,0,2,1,0,0,0,0,0,7,9,22,3,1,4,3,5,28,31,48,15,0,0,11,0,38,0,24,0,0,11,0,0,43,0,0,0,3,35,0,45,22,0,19,5,13,19,22,0,5,2,2,0,40,43,43,2,7,36,683,IE,53.41291,-8.24389,Ireland,IRL
84,Iran,4,6,0,1,75,111,121,53,129,107,11,107,110,137,141,182,442,381,894,1236,1192,1731,1413,2053,2845,5171,4466,5560,3743,535,278,487,541,509,469,548,803,833,478,192,454,1022,432,987,450,294,615,178,381,323,418,524,435,282,121,57,423,331,62,97,99,100,46,13,13,13,413,4,4,3,46687,IR,32.427908,53.688046,Iran,IRN
85,Iraq,0,0,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1861,1440,1103,1136,1085,1817,1359,2240,2587,3285,3360,4546,3982,3373,3454,1891,1494,779,0,0,0,0,0,0,0,0,0,0,0,0,0,71,186,312,275,378,398,434,574,476,353,665,1464,1789,989,543,175,54323,IQ,33.223191,43.679291,Iraq,IRQ
81,Iceland,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,123,IS,64.963051,-19.020835,Iceland,ISL
87,Israel,53,92,74,112,49,117,641,133,143,223,163,84,261,396,417,437,319,282,961,1382,1131,1350,898,1979,1180,1643,1942,1263,1336,710,1273,1658,869,491,288,310,1185,1080,582,24,81,1209,1303,716,757,364,117,67,1291,1191,353,116,349,189,845,1133,1122,832,676,153,67,85,120,209,541,681,605,536,543,507,44290,IL,31.046051,34.851612,Israel,ISR
88,Italy,158,233,463,784,308,587,1151,941,417,421,390,426,666,997,1115,722,395,106,192,481,555,1090,1748,1001,1111,1016,711,518,692,605,479,133,251,307,273,206,199,183,179,196,158,206,188,208,201,334,286,519,56,25,241,221,239,564,451,162,423,515,214,101,103,286,207,81,139,251,759,734,317,186,30782,IT,41.87194,12.56738,Italy,ITA
89,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,13,8,4,1,3,4,0,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,13,2,0,1,0,0,1,0,2,22,0,13,3,145,JM,18.109581,-77.297508,Jamaica,JAM
91,Jordan,0,0,0,0,27,34,62,0,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,369,334,461,590,276,383,404,1064,789,480,293,250,143,247,59,16,24,0,1,5,19,75,77,248,64,133,160,132,281,168,49,53,181,161,234,89,215,176,75,196,233,233,390,215,85,11566,JO,30.585164,36.238414,Jordan,JOR
90,Japan,0,0,8,223,316,411,758,1059,1239,668,859,338,223,204,1809,1209,324,619,559,531,658,781,677,640,1007,1685,1674,975,1094,997,1067,1347,1462,1707,2063,1982,1904,1949,2007,2297,2703,2953,2520,2138,1025,1241,857,824,1474,1267,494,442,446,483,403,398,480,517,692,621,403,304,223,277,293,329,330,453,572,891,65383,JP,36.204824,138.252924,Japan,JPN
92,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,64,0,72,121,139,20,0,47,42,44,82,25,39,58,62,94,141,95,444,248,214,304,312,2770,KZ,48.019573,66.923684,Kazakhstan,KAZ
93,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,19,2,2,3,0,20,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,178,0,23,42,14,0,0,30,0,0,58,0,0,12,0,0,0,0,0,0,10,0,34,116,14,62,1,17,30,29,16,5,32,1612,KE,-0.023559,37.906193,Kenya,KEN
97,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,2,0,0,0,0,0,0,0,0,4,9,13,1,15,61,KG,41.20438,74.766098,Kyrgyzstan,KGZ
32,Cambodia,0,0,0,0,4,18,36,10,4,2,1,2,5,11,39,39,37,20,15,18,6,22,106,123,23,0,0,0,43,0,34,0,0,13,67,68,134,50,10,119,45,0,0,2,72,1,28,21,0,0,0,0,0,0,0,0,14,56,0,4,34,0,77,67,0,0,0,0,5,2,1508,KH,12.565679,104.990963,Cambodia,KHM
94,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,KI,-3.370417,-168.734039,Kiribati,KIR
158,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,KN,17.357822,-62.782998,Saint Kitts and Nevis,KNA
171,South Korea,155,256,266,263,158,354,412,236,212,284,252,254,131,203,268,623,569,125,345,494,76,240,375,253,446,647,552,1193,375,1348,918,888,677,493,520,753,859,763,1213,1838,1211,904,785,1010,1018,1957,1976,1226,1431,1645,1397,775,531,755,1061,808,1654,1729,1685,797,1284,1576,1078,185,723,272,1059,1056,1106,1510,54489,KR,35.907757,127.766922,South Korea,KOR
96,Kuwait,0,0,0,0,5,1,0,0,2,0,44,0,10,34,46,25,8,0,104,97,54,111,30,0,5,77,230,490,487,198,35,13,175,291,494,621,170,50,6,132,325,516,896,694,35,632,1189,482,46,212,245,67,23,45,2,12,5,288,5,9,85,113,31,73,692,339,162,111,95,70,11543,KW,29.31166,47.481766,Kuwait,KWT
98,Laos,0,0,0,0,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,37,21,134,26,0,35,54,2,94,26,62,0,29,18,0,8,0,0,0,0,0,0,44,21,30,7,0,0,0,0,4,0,0,7,26,0,14,19,19,0,7,0,3,109,18,1087,LA,19.85627,102.495496,Laos,LAO
100,Lebanon,5,0,2,5,6,8,0,39,65,11,0,3,13,18,0,34,67,75,1,0,0,7,49,41,28,11,3,8,2,19,37,9,36,93,193,101,32,1,1,1,0,1,41,41,18,43,29,9,7,4,4,0,3,0,1,1,9,5,1,72,84,1,31,24,6,48,28,50,52,67,1580,LB,33.854721,35.862285,Lebanon,LBN
102,Liberia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,18,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,7,0,12,3,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,LR,6.428055,-9.429499,Liberia,LBR
103,Libya,0,0,0,0,0,0,0,3,0,1,14,17,2,3,15,9,26,12,57,155,371,555,555,750,1763,1666,1851,3062,4224,3315,2969,3157,2751,1405,746,753,409,184,9,218,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,16,16,16,22,37,9,73,109,17,38,15,6,11,22,31337,LY,26.3351,17.228331,Libya,LBY
177,Sri Lanka,0,0,0,17,0,8,1,2,20,31,4,0,0,0,0,0,0,0,0,2,0,33,47,0,0,1,0,17,7,0,18,0,0,0,52,42,27,110,19,5,19,166,22,35,74,64,210,50,85,64,297,161,45,35,49,58,97,92,79,21,4,21,0,20,5,0,0,45,99,59,2441,LK,7.873054,80.771797,Sri Lanka,LKA
101,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,1,0,0,10,0,0,8,0,4,0,0,0,0,0,0,5,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,48,LS,-29.609988,28.233608,Lesotho,LSO
106,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,0,4,15,0,15,5,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,13,28,45,6,39,537,LT,55.169438,23.881275,Lithuania,LTU
107,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,22,LU,49.815273,6.129583,Luxembourg,LUX
99,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,24,29,19,25,373,LV,56.879635,24.603189,Latvia,LVA
123,Morocco,0,0,0,0,0,0,28,12,10,13,22,37,93,14,16,81,151,138,79,38,77,1,0,21,198,206,216,408,419,723,453,777,513,382,59,38,31,32,111,126,137,62,17,98,117,28,89,220,0,60,125,11,156,12,14,101,47,27,46,39,306,1403,896,76,560,47,287,485,387,26,11399,MA,31.791702,-7.09262,Morocco,MAR
120,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,MD,47.411631,28.369885,Moldova,MDA
109,Madagascar,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,0,12,1,1,0,0,0,0,18,6,0,0,0,64,43,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,198,MG,-18.766947,46.869107,Madagascar,MDG
112,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,0,34,MV,3.202778,73.22068,Maldives,MDV
118,Mexico,0,7,0,6,0,0,0,0,16,2,6,44,107,60,38,11,21,14,0,0,82,48,15,158,61,104,69,39,68,61,75,115,342,116,0,8,143,154,97,63,34,39,19,160,128,50,87,485,23,141,227,152,97,31,320,33,75,0,22,59,112,229,260,52,87,320,314,210,16,3,5933,MX,23.634501,-102.552784,Mexico,MEX
115,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,MH,7.131474,171.184478,Marshall Islands,MHL
108,Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,12,81,14,112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,248,MK,41.608635,21.745275,Macedonia,MKD
113,Mali,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,1,10,0,2,0,15,0,0,0,9,89,0,0,0,0,91,4,15,13,0,0,0,1,0,1,0,0,0,0,0,0,9,4,0,7,0,1,4,0,13,0,8,3,10,0,0,9,6,1,0,21,31,25,3,424,ML,17.570692,-3.996166,Mali,MLI
114,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,6,0,0,0,0,0,0,0,18,0,0,0,0,0,8,8,0,12,0,6,8,0,0,88,MT,35.937496,14.375416,Malta,MLT
126,Myanmar,4,0,0,16,39,47,30,53,61,21,6,17,14,27,18,19,3,13,6,22,4,23,4,0,0,53,10,9,25,19,40,0,38,0,0,0,8,0,0,34,266,232,64,323,97,223,118,231,156,141,16,149,157,95,194,160,175,151,77,59,56,667,398,251,100,248,237,101,168,252,6246,MM,21.913965,95.956223,Myanmar,MMR
122,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,16,ME,42.708678,19.37439,Montenegro,MNE
121,Mongolia,0,5,28,5,3,10,9,12,12,0,10,66,90,86,120,137,116,63,15,14,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,27,3,79,0,0,74,0,0,0,17,2188,MN,46.862496,103.846656,Mongolia,MNG
124,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,148,492,111,54,60,64,59,94,73,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9,15,0,2,0,0,22,1275,MZ,-18.665695,35.529562,Mozambique,MOZ
116,Mauritania,0,0,0,0,0,0,0,0,0,0,2,1,1,6,1,1,0,0,0,0,11,13,0,1,5,5,10,24,17,24,0,19,16,0,0,3,0,0,0,8,16,18,0,0,16,2,2,8,4,0,31,0,27,7,0,0,0,0,0,0,9,5,11,0,7,1,35,0,1,34,400,MR,21.00789,-10.940835,Mauritania,MRT
117,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,0,8,0,0,29,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,28,0,26,19,0,0,128,MU,-20.348404,57.552152,Mauritius,MUS
110,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,6,7,8,14,14,0,0,1,6,10,1,2,3,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,2,1,0,0,0,102,MW,-13.254308,34.301525,Malawi,MWI
111,Malaysia,0,0,0,0,0,0,0,0,13,18,5,2,31,75,97,10,58,127,90,78,25,195,113,206,50,85,394,146,72,314,127,56,25,268,545,404,128,17,14,38,0,34,13,13,308,848,33,555,39,720,26,26,153,147,65,59,408,526,508,1512,423,5,47,71,71,104,266,191,98,70,11163,MY,4.210484,101.975766,Malaysia,MYS
127,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,5,0,0,21,11,0,16,0,72,6,66,15,3,1,57,9,2,0,3,35,0,0,333,,-22.95764,18.49041,Namibia,NAM
128,NATO**,0,0,0,0,0,0,0,26,26,26,26,22,5,0,0,0,0,7,14,14,14,0,0,0,0,0,0,0,0,0,0,0,1250,1250,1250,802,0,0,18,36,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,116,0,0,420,0,0,22,0,0,0,12,25,21,70,5505,BE,50.503887,4.469936,NATO**,NAT
133,Niger,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,1,12,0,0,3,0,0,0,2,57,7,0,6,13,3,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,8,1,0,0,0,13,4,9,0,3,0,3,168,NE,17.607789,8.081666,Niger,NER
134,Nigeria,0,0,0,0,0,0,0,0,0,5,0,1,8,9,2,116,99,53,46,40,14,12,113,7,24,439,104,68,136,87,503,330,620,42,359,576,216,115,62,15,18,3,59,41,95,2,15,1,0,0,36,9,6,62,11,0,15,60,33,65,188,62,30,30,218,186,50,41,49,30,5625,NG,9.081999,8.675277,Nigeria,NGA
132,Nicaragua,0,0,0,3,13,27,1,4,6,0,2,8,6,8,0,0,2,0,0,0,0,5,5,10,0,0,8,19,13,0,0,41,67,47,165,87,88,151,63,14,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,13,15,86,7,0,13,1127,NI,12.865416,-85.207229,Nicaragua,NIC
130,Netherlands,154,454,423,975,784,736,1171,695,467,146,294,309,370,711,910,745,189,731,266,549,690,689,656,21,40,96,266,579,704,780,626,762,1248,1361,1203,901,815,632,383,709,276,324,241,144,211,84,205,126,271,278,123,164,244,125,127,98,317,237,154,293,190,134,363,331,11,64,79,35,142,490,30117,NL,52.132633,5.291266,Netherlands,NLD
137,Norway,113,127,426,421,19,168,282,142,144,110,145,93,60,227,260,371,766,686,280,518,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,9,6,14,555,593,615,583,159,606,143,51,16,143,140,352,549,443,16618,NO,60.472024,8.468946,Norway,NOR
129,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,8,3,1,2,15,6,0,0,0,0,1,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,11,9,9,34,6,0,0,1,0,0,3,0,0,5,14,8,1,7,17,177,NP,28.394857,84.124008,Nepal,NPL
131,New Zealand,41,63,151,20,0,38,148,90,58,0,119,111,8,5,0,10,407,4,56,0,168,133,20,19,7,48,7,34,0,0,0,31,62,100,41,9,29,5,59,26,23,42,55,36,16,7,7,309,15,304,0,45,17,108,49,10,5,81,2,56,58,28,30,26,84,90,0,0,6,13,3645,NZ,-40.900557,174.885971,New Zealand,NZL
139,Oman,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,82,43,12,72,182,356,120,86,49,40,19,119,59,0,0,55,145,278,291,163,22,0,118,33,40,36,41,170,298,12,72,93,30,21,120,490,715,127,423,777,277,105,7060,OM,21.512583,55.923255,Oman,OMN
201,United Nations**,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,55,11,0,0,1,7,31,0,0,0,2,1,2,1,0,0,0,0,0,5,25,3,9,0,0,0,182,ON,40.73061,-73.935242,United Nations**,ONU
140,OSCE**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,OS,48.210033,16.363449,OSCE**,OSC
141,Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,198,85,214,594,153,418,540,447,565,675,162,230,241,279,256,649,710,854,485,537,777,856,738,280,617,412,962,635,495,379,1000,886,366,503,692,704,878,186,423,563,650,477,443,360,692,1071,1186,2199,1133,1018,1100,834,786,840,851,792,561,38140,PK,30.375321,69.345116,Pakistan,PAK
144,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18,2,16,0,27,6,4,5,0,3,4,13,8,0,7,0,0,23,2,0,0,2,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,7,0,0,15,30,0,0,3,15,11,0,249,PA,8.537981,-80.782127,Panama,PAN
147,Peru,2,24,76,0,111,35,175,117,30,175,191,96,14,24,18,53,65,28,197,89,35,157,160,449,572,550,378,939,776,642,710,870,278,324,362,257,248,613,241,16,97,107,124,42,175,46,124,312,52,97,24,4,16,22,47,368,193,172,0,43,46,63,10,22,152,212,222,64,92,0,13040,PE,-9.189967,-75.015152,Peru,PER
148,Philippines,0,2,1,32,2,36,42,45,29,64,51,45,11,4,2,97,87,41,17,26,9,90,52,117,53,146,262,187,162,92,75,44,17,117,39,23,0,26,12,19,33,34,43,61,71,27,40,70,64,0,0,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,278,18,187,3776,PH,12.879721,121.774017,Philippines,PHL
142,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,PW,7.51498,134.58252,Palau,PLW
145,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,2,0,0,2,5,0,3,0,8,12,6,6,4,10,10,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,124,PG,-6.314993,143.95555,Papua New Guinea,PNG
151,Poland,190,575,794,1021,1999,1098,687,1080,1048,994,853,849,688,1001,1565,1155,981,746,866,948,948,940,866,1062,1079,971,790,930,1116,1131,1093,811,724,528,462,918,1380,1020,896,498,227,76,95,8,72,248,105,1,3,25,148,33,256,350,226,115,465,992,597,171,159,88,232,154,254,133,45,153,122,308,43162,PL,51.919438,19.145136,Poland,POL
135,North Korea,862,372,211,674,263,404,479,428,827,579,405,69,181,197,168,117,855,854,1299,605,629,1572,568,640,933,636,502,312,369,238,416,263,549,511,283,1040,1097,849,854,595,295,198,137,93,35,143,78,9,9,179,18,28,9,8,8,5,15,5,5,4,1,0,0,0,0,0,0,0,0,0,23986,KP,40.339852,127.510093,North Korea,PRK
152,Portugal,18,18,116,284,286,162,91,157,99,48,31,151,29,41,45,63,236,298,388,359,371,177,17,17,117,326,64,94,128,5,36,50,190,4,109,155,5,9,90,136,73,1018,19,361,453,20,7,0,16,3,2,19,0,29,70,158,220,60,144,370,894,170,40,13,3,1,21,12,26,44,9284,PT,39.399872,-8.224454,Portugal,PRT
146,Paraguay,5,0,1,1,0,0,0,0,0,0,10,0,11,0,8,1,1,5,9,0,0,1,12,0,0,20,3,0,10,1,18,5,3,1,3,34,4,0,14,0,6,3,1,0,0,0,2,0,0,0,0,6,0,0,4,1,0,0,0,0,3,8,7,0,0,0,0,0,0,2,225,PY,-23.442503,-58.443832,Paraguay,PRY
143,Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,0,0,0,0,0,0,0,0,0,0,2,0,14,7,2,0,0,0,0,0,0,0,2,37,PS,31.952162,35.233154,Palestine,PSE
154,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,16,0,0,0,38,26,55,16,14,55,46,128,470,328,2,2,57,91,10,5,17,64,11,10,11,201,242,300,72,14,11,11,11,0,0,0,27,0,286,30,198,319,73,55,520,903,667,596,2258,8274,QA,25.354826,51.183884,Qatar,QAT
155,Romania,4,76,455,904,629,359,448,186,106,97,113,27,181,227,418,518,401,442,603,411,573,487,513,551,695,658,295,349,298,645,528,478,448,285,241,332,450,215,193,276,606,63,184,14,29,2,39,61,170,142,21,24,21,17,285,437,61,98,76,56,107,80,21,20,0,22,177,83,36,61,18121,RO,45.943161,24.96676,Romania,ROU
156,Russia,36,0,0,8,48,948,1540,1500,1500,900,677,175,174,237,463,485,607,576,543,578,493,525,795,583,957,771,800,876,803,842,767,804,676,725,914,1004,1379,1533,1611,1201,693,132,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,8,25,10,121,183,218,85,145,93,26,0,1057,RU,61.52401,105.318756,Russia,RUS
157,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,4,6,3,2,0,2,0,1,2,5,0,0,0,1,2,9,20,14,0,0,0,0,0,3,20,8,11,0,0,5,15,14,27,0,8,3,0,193,RW,-1.940278,29.873888,Rwanda,RWA
160,Saudi Arabia,0,0,7,1,2,16,10,56,37,8,17,12,22,0,5,48,229,210,456,383,54,10,101,182,375,474,607,946,1014,762,1094,1814,2219,1823,835,1330,2850,2009,783,1382,2073,1041,1125,2377,981,983,1731,2787,2895,1580,85,61,567,167,1170,167,206,230,391,824,1083,1222,1033,1614,2741,3380,2947,3934,3760,3673,69006,SA,23.885942,45.079162,Saudi Arabia,SAU
178,Sudan,0,0,0,0,0,0,0,2,5,4,9,15,19,8,36,5,5,2,16,177,595,87,69,23,3,0,0,26,208,4,3,204,90,25,106,65,9,122,77,16,3,81,6,0,0,3,27,63,0,36,0,106,49,204,293,132,69,70,172,90,184,234,97,139,96,143,117,68,34,0,4332,SD,12.862807,30.217636,Sudan,SDN
161,Senegal,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,1,0,1,19,0,12,0,1,17,0,14,41,20,29,0,0,7,38,4,0,14,18,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,15,9,18,6,4,4,20,0,5,7,16,40,47,12,31,487,SN,14.497401,-14.452362,Senegal,SEN
165,Singapore,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,8,0,6,139,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,546,238,527,375,112,170,183,306,171,624,816,313,798,255,236,86,379,541,72,358,1116,1429,958,900,748,748,65,147,631,429,592,614,19090,SG,1.352083,103.819836,Singapore,SGP
168,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,SB,-9.64571,160.156194,Solomon Islands,SLB
164,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,2,0,42,0,0,1,3,0,0,18,0,0,0,0,1,0,6,14,0,16,0,12,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0,1,0,0,0,158,SL,8.460555,-11.779889,Sierra Leone,SLE
56,El Salvador,1,0,0,0,1,0,0,17,0,0,0,0,0,0,0,1,1,0,20,8,9,1,0,1,29,46,15,8,1,8,12,5,35,12,62,44,5,0,0,1,2,21,4,2,0,4,4,0,2,0,0,0,19,10,0,0,0,0,3,0,0,0,2,0,20,0,1,0,0,0,433,SV,13.794185,-88.89653,El Salvador,SLV
169,Somalia,0,0,0,0,0,0,0,0,0,0,10,2,0,11,0,30,52,72,4,1,0,0,21,165,290,128,180,44,57,48,120,97,61,23,12,42,15,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,8,1519,SO,5.152149,46.199616,Somalia,SOM
